node_id,x_m,y_m,z_m
231,38.0,1.0,0.0
232,0.0,1.5,0.0
233,0.5,1.5,0.0
234,1.0,1.5,0.0
235,1.5,1.5,0.0
236,2.0,1.5,0.0
237,2.5,1.5,0.0
238,3.0,1.5,0.0
239,3.5,1.5,0.0
240,4.0,1.5,0.0
241,4.5,1.5,0.0
242,5.0,1.5,0.0
243,5.5,1.5,0.0
244,6.0,1.5,0.0
245,6.5,1.5,0.0
246,7.0,1.5,0.0
247,7.5,1.5,0.0
248,8.0,1.5,0.0
249,8.5,1.5,0.0
250,9.0,1.5,0.0
251,9.5,1.5,0.0
252,10.0,1.5,0.0
253,10.5,1.5,0.0
254,11.0,1.5,0.0
255,11.5,1.5,0.0
256,12.0,1.5,0.0
257,12.5,1.5,0.0
258,13.0,1.5,0.0
259,13.5,1.5,0.0
260,14.0,1.5,0.0
261,14.5,1.5,0.0
262,15.0,1.5,0.0
263,15.5,1.5,0.0
264,16.0,1.5,0.0
265,16.5,1.5,0.0
266,17.0,1.5,0.0
267,17.5,1.5,0.0
268,18.0,1.5,0.0
269,18.5,1.5,0.0
270,19.0,1.5,0.0
271,19.5,1.5,0.0
272,20.0,1.5,0.0
273,20.5,1.5,0.0
274,21.0,1.5,0.0
275,21.5,1.5,0.0
276,22.0,1.5,0.0
277,22.5,1.5,0.0
278,23.0,1.5,0.0
279,23.5,1.5,0.0
280,24.0,1.5,0.0
281,24.5,1.5,0.0
282,25.0,1.5,0.0
283,25.5,1.5,0.0
284,26.0,1.5,0.0
285,26.5,1.5,0.0
286,27.0,1.5,0.0
287,27.5,1.5,0.0
288,28.0,1.5,0.0
289,28.5,1.5,0.0
290,29.0,1.5,0.0
291,29.5,1.5,0.0
292,30.0,1.5,0.0
293,30.5,1.5,0.0
294,31.0,1.5,0.0
295,31.5,1.5,0.0
296,32.0,1.5,0.0
297,32.5,1.5,0.0
298,33.0,1.5,0.0
299,33.5,1.5,0.0
300,34.0,1.5,0.0
301,34.5,1.5,0.0
302,35.0,1.5,0.0
303,35.5,1.5,0.0
304,36.0,1.5,0.0
305,36.5,1.5,0.0
306,37.0,1.5,0.0
307,37.5,1.5,0.0
308,38.0,1.5,0.0
309,0.0,2.0,0.0
310,0.5,2.0,0.0
311,1.0,2.0,0.0
312,1.5,2.0,0.0
313,2.0,2.0,0.0
314,2.5,2.0,0.0
315,3.0,2.0,0.0
316,3.5,2.0,0.0
317,4.0,2.0,0.0
318,4.5,2.0,0.0
319,5.0,2.0,0.0
320,5.5,2.0,0.0
321,6.0,2.0,0.0
322,6.5,2.0,0.0
323,7.0,2.0,0.0
324,7.5,2.0,0.0
325,8.0,2.0,0.0
326,8.5,2.0,0.0
327,9.0,2.0,0.0
328,9.5,2.0,0.0
329,10.0,2.0,0.0
330,10.5,2.0,0.0
331,11.0,2.0,0.0
332,11.5,2.0,0.0
333,12.0,2.0,0.0
334,12.5,2.0,0.0
335,13.0,2.0,0.0
336,13.5,2.0,0.0
337,14.0,2.0,0.0
338,14.5,2.0,0.0
339,15.0,2.0,0.0
340,15.5,2.0,0.0
341,16.0,2.0,0.0
342,16.5,2.0,0.0
343,17.0,2.0,0.0
344,17.5,2.0,0.0
345,18.0,2.0,0.0
346,18.5,2.0,0.0
347,19.0,2.0,0.0
348,19.5,2.0,0.0
349,20.0,2.0,0.0
350,20.5,2.0,0.0
351,21.0,2.0,0.0
352,21.5,2.0,0.0
353,22.0,2.0,0.0
354,22.5,2.0,0.0
355,23.0,2.0,0.0
356,23.5,2.0,0.0
357,24.0,2.0,0.0
358,24.5,2.0,0.0
359,25.0,2.0,0.0
360,25.5,2.0,0.0
361,26.0,2.0,0.0
362,26.5,2.0,0.0
363,27.0,2.0,0.0
364,27.5,2.0,0.0
365,28.0,2.0,0.0
366,28.5,2.0,0.0
367,29.0,2.0,0.0
368,29.5,2.0,0.0
369,30.0,2.0,0.0
370,30.5,2.0,0.0
371,31.0,2.0,0.0
372,31.5,2.0,0.0
373,32.0,2.0,0.0
374,32.5,2.0,0.0
375,33.0,2.0,0.0
376,33.5,2.0,0.0
377,34.0,2.0,0.0
378,34.5,2.0,0.0
379,35.0,2.0,0.0
380,35.5,2.0,0.0
381,36.0,2.0,0.0
382,36.5,2.0,0.0
383,37.0,2.0,0.0
384,37.5,2.0,0.0
385,38.0,2.0,0.0
386,0.0,2.5,0.0
387,0.5,2.5,0.0
388,1.0,2.5,0.0
389,1.5,2.5,0.0
390,2.0,2.5,0.0
391,2.5,2.5,0.0
392,3.0,2.5,0.0
393,3.5,2.5,0.0
