time_s,Et,n_mp,removed_total,mean_displacement_m,p95_displacement_m,p99_displacement_m,max_displacement_m,mean_speed_mps,p95_speed_mps,max_speed_mps,plastic_fraction_gt_1e4_percent,new_plastic_fraction_gt_1e5_percent,max_delta_plastic_strain,q999_downslope_displacement_m,max_downslope_displacement_m
2.192999999999869,0.3,3495,75,0.00041762868770212324,0.0008979222751395865,0.0015305916780275644,0.0022747979461720277,0.0020579204677872967,0.00493704436401656,0.007935641609962326,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001810713132525659,0.001940742027748854
2.193999999999869,0.3,3495,75,0.00041755348410243027,0.0008978214097220821,0.0015300121421634634,0.002272607663380592,0.0020324752164929435,0.00492685852155773,0.00795141466567347,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018080261522148036,0.0019375976024171848
2.194999999999869,0.3,3495,75,0.0004174668328752534,0.0008977203750424993,0.0015296686556015818,0.0022709325057823104,0.0020130728526995137,0.004873563574552525,0.007931866614303892,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018056430123567352,0.001934782470332408
2.1959999999998687,0.3,3495,75,0.0004173682497128979,0.0008975472825215807,0.0015295601755941004,0.002269787603571463,0.0020009860651852623,0.0048745528591283855,0.00787853887012529,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018035885368928985,0.0019323277396345873
2.1969999999998686,0.3,3495,75,0.0004172574185934031,0.0008972742220501295,0.0015296812876442582,0.0022691800265308704,0.001997340254813637,0.004897313786890956,0.007793318049132166,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018018829797071115,0.001930259629343567
2.1979999999998685,0.3,3495,75,0.0004171341850612453,0.0008965055440146478,0.0015300223498489844,0.0022691087107706348,0.00200288435745765,0.0049000971865175574,0.007700463770646765,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018005417855892767,0.0019285991140378655
2.1989999999998684,0.3,3495,75,0.0004169985607460077,0.0008955794927573589,0.0015305697418158937,0.002269564527152259,0.0020174332841205772,0.00486940790523302,0.0075891205981178924,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0017995754280940256,0.001927361651866022
2.1999999999998683,0.3,3495,75,0.00041685073616764694,0.0008957640716108844,0.0015313062073256517,0.0022705304925107355,0.002038862423627364,0.0048967911651874715,0.007467997820760924,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0017989893265306543,0.0019265570018127676
2.200999999999868,0.3,3495,75,0.0004166910721934049,0.0008959640938990088,0.0015322112462299803,0.002271982121694864,0.0020665537483001975,0.004838088911215178,0.007545832361475535,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0017987838431351285,0.0019261891345330184
2.201999999999868,0.3,3495,75,0.0004165200924736494,0.0008967019501793722,0.0015332615851176598,0.002273887915007977,0.0020990154181937484,0.004797720142627327,0.007583391349278419,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0017989543602170196,0.001926256239151769
2.202999999999868,0.3,3495,75,0.0004163384930198713,0.0008973676610358559,0.001534431697219796,0.002276209972401519,0.002132450298466487,0.004802647962694545,0.0075817211519180585,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0017994914358233866,0.0019267508265130573
2.203999999999868,0.3,3495,75,0.0004161471349615731,0.0008980714890802664,0.0015356943518770874,0.0022789047226026873,0.0021652771784639972,0.004736511115047046,0.007669756766855732,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018003810352439469,0.001927659927272174
2.2049999999998677,0.3,3495,75,0.0004159470246400211,0.0008988077533995703,0.0015370212026771415,0.0022819237524243593,0.0021961410071230695,0.004691798971936883,0.008054163177561866,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018016048344152678,0.0019289653811149776
2.2059999999998676,0.3,3495,75,0.0004157392931880576,0.0008995709899388604,0.0015383833855217605,0.002285214719099633,0.0022234418560701566,0.00463594007526724,0.00833362573689448,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018031405900385763,0.0019306442113915523
2.2069999999998675,0.3,3495,75,0.00041552517626340207,0.0008996253926800861,0.001539752118773364,0.002288722326530271,0.0022463462550465123,0.004675698350173543,0.008504403727305002,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018049625700892623,0.0019326690775365307
